,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
10531,L,302.53288855966065,310.7315542386427,1334,53.23068938341387,109
10532,M,300.84316371645593,309.4383677479608,1341,62.06907817383802,112
10533,L,302.89884446098165,310.9494222304908,1358,45.12304429354226,116
10534,L,302.7317512268137,310.66350245362736,1363,54.23559739669204,66
10535,L,302.4,310.7824409189867,1356,51.213820024077435,152
10536,L,302.3221626035716,310.6610813017858,1347,46.99607926026713,109
10537,L,302.5854017704251,311.008892035725,1324,49.11559646442563,216
10538,L,303.3838379226248,311.3802463498748,1307,54.080810386875676,44
10539,L,302.9403916305451,310.9701958152725,1358,44.445884524001514,114
10540,L,302.1020785442697,310.50207854426975,1351,52.640876425838584,108
10541,L,302.00611212486484,310.4061121248648,1356,57.67911344459672,108
10542,L,302.4988275951155,311.03746950355924,1364,48.751050419121505,209
10543,L,303.4,311.70709161914385,1353,44.58223010178227,192
10544,L,303.3621278248416,311.76744738694566,1374,42.5657404665385,33
10545,L,302.16588297085303,310.6430152851747,1335,50.59147074271326,65
10546,L,301.4951361440262,309.9792801200219,1251,62.58395000763683,29
10547,L,303.35292216552455,311.55292216552454,1231,59.26412604849919,196
10548,M,302.4,310.37111536607404,1373,50.082077553482755,154
10549,L,302.7,310.5056674900767,1351,41.96152346718529,10
10550,L,301.9342939480837,310.4514409221255,1290,61.08530259581508,19
10551,H,302.3387596669267,310.78110462529247,1359,57.28013570778082,108
10552,L,303.3481929711793,311.6963859423587,1310,59.23856102009724,218
10553,H,302.39524957605863,310.92438190406205,1374,54.81260301598965,121
10554,L,302.057029078715,310.057029078715,1377,48.2644563819275,169
10555,L,302.9758019033691,311.1596698389485,1341,50.762052049796075,173
10556,H,303.2580678775964,311.8379542233373,1372,54.66034096277711,114
10557,L,302.7464113369737,310.7928226739474,1314,53.32536192355209,42
10558,L,302.4973512019591,310.3311260016326,1352,42.914568389224996,8
10559,L,303.43262020112985,311.63262020112984,1228,61.69491613445941,180
10560,L,302.46451611554613,310.8119544480968,1367,51.47741942226948,64
10561,L,303.07675387550836,311.058156975915,1317,57.87083818267088,89
10562,L,302.56240476357914,310.3977420665618,1362,52.86768252182215,62
10563,L,301.4583413371481,309.9525072034333,1260,63.53244957596666,20
10564,H,301.9133678910917,310.25540853998655,1265,60.38540443791064,21
10565,L,302.88553172119845,311.3646806871679,1365,49.6731910274732,205
10566,L,303.34026556852245,311.68053113704497,1311,58.969029329764666,218
10567,L,302.2068587299814,310.7935528342644,1360,45.57009569459996,67
10568,L,303.4240229923394,311.7973946462385,1365,52.524597800825646,29
10569,L,303.4577655483725,311.74397798707037,1311,54.2512272904618,86
10570,L,302.7030103231725,310.90401376423006,1368,51.002680655519164,145
10571,L,302.0785587512761,310.47855875127607,1335,56.94305997958294,110
10572,L,302.8658435797334,310.97471001056977,1350,49.27732861672764,8
10573,M,303.0939262200628,311.37635573203767,1370,46.61995652620732,61
10574,M,302.82640143018074,311.25877033090825,1357,45.73254977563935,201
10575,L,302.9349992110511,310.96099952663064,1358,45.09701088749466,114
10576,L,301.6698766390308,310.1698766390308,1363,53.808515787622,72
10577,L,302.0881584487332,310.45037625641896,1219,55.5244356153715,72
10578,L,302.0969024929507,310.47752199436053,1357,56.99221407331282,107
10579,L,302.4,310.3,1374,51.37650021705998,162
10580,L,301.95354172355604,310.4,1246,58.94499590396257,52
10581,L,302.29774728172157,310.1744368204304,1353,45.17668953870881,169
10582,H,302.08055492618183,310.4283329557091,1297,56.486668177163565,34
10583,L,302.9833832065715,311.2621529496364,1342,51.43477140802583,8
10584,L,302.2863610201572,310.4272779596856,1349,46.97504316740649,164
10585,L,302.4428383031511,310.1642574547267,1358,55.15689794096469,62
10586,H,302.23122840853256,310.68498272682604,1363,49.53327066942314,92
10587,L,302.0354205272943,310.38819315756854,1335,58.44794369106027,108
10588,H,302.7431860504126,311.04591163024753,1358,51.65766040348134,103
10589,L,303.0,311.10747614561325,1360,46.02709447542532,110
10590,L,301.7570143723127,310.2570143723127,1337,50.00566528159608,66
10591,L,302.5929466150565,310.4107888458804,1351,42.388793617189236,9
10592,L,302.28910217713576,310.4217956457285,1346,54.13811219661456,107
10593,H,302.9101010932525,311.1460606559515,1360,49.020402726611096,105
10594,H,302.23387911547877,310.68710329238303,1363,49.59211636362913,92
10595,L,303.2489160046555,311.5329522561103,1300,45.75132094064256,219
10596,L,302.72231242626475,310.6705207104412,1323,56.62269506709781,58
10597,L,302.2489300831033,310.1,1358,54.82660487534504,62
10598,L,300.8393905985831,309.4328254988192,1342,62.25556780519534,112
10599,L,301.8871437850537,310.061431355161,1310,55.95566696226314,219
10600,L,302.341351546537,310.70601365990274,1341,49.6721639188328,158
10601,L,301.98498365818597,310.34900980508843,1376,53.88019610176845,122
10602,H,303.57043580785034,312.1408716157007,1370,54.087554002739175,112
10603,L,302.8885366686149,311.0180488914865,1309,52.067194997077685,41
10604,L,302.2903198126516,310.64515990632583,1354,51.29023400485176,158
10605,M,302.4,310.4605372058848,1372,47.04173499991721,147
10606,L,303.0951765649349,311.2951765649349,1373,47.91447030519527,63
10607,L,303.3462634034236,311.6026493137739,1243,65.08022973431548,141
10608,L,302.6814845794269,310.98148457942693,1363,55.45679735199614,150
10609,L,302.3155057039734,310.87415716004443,1359,44.68225097482694,67
10610,M,302.14756084755,310.13170723170003,1378,48.88170548154967,165
10611,M,302.5685762609618,310.3622297392739,1360,53.23265921664321,60
10612,M,301.0386871833443,309.6121663851949,1340,60.570064927694006,112
10613,L,302.1633773886207,310.4933585077832,1226,55.459962238325126,66
10614,L,303.3360111816812,311.5626964844833,1364,50.23629072371243,29
10615,L,302.5171208881133,310.81369671049066,1359,52.62194276362136,106
10616,L,302.3527220959228,310.6763610479614,1358,53.28710706953061,156
10617,L,302.0789329706665,310.3473324266662,1375,47.73953487466748,173
10618,L,302.4420270757929,310.36810830317154,1342,59.50013177029044,107
10619,L,302.6275194605682,310.67485798338635,1260,58.76002525320452,227
10620,L,302.6321401563457,310.6208301824033,1367,47.228560625382826,10
10621,L,302.0843668561607,310.1,1376,47.76227197250005,167
10622,L,302.01259325491003,310.3503730196402,1375,47.26147419598949,196
10623,L,302.6603110606911,310.7427995462199,1308,61.37471196825137,111
10624,L,301.98967083141963,309.9948354157098,1344,62.4,107
10625,L,302.2515577161216,310.31614742795944,1331,59.960904012851124,102
10626,L,303.3388133081002,311.6388133081002,1321,44.71186691899775,208
10627,L,302.23415205669005,310.65122808503514,1348,48.00725134806411,158
10628,L,302.08562307395334,310.54025565348826,1307,56.01629367581448,42
10629,L,302.9208016295505,311.20570142585666,1217,62.04561140685346,118
10630,L,303.2,311.31531223902005,1356,50.793584485211476,16
10631,L,302.7604492562025,310.7664202597467,1343,48.961956316455044,170
10632,L,302.1560161529533,310.57067743530223,1289,61.29803856934034,25
10633,L,302.7,310.5674187495311,1357,43.72143436163597,10
10634,L,302.9115232445136,311.2410154963424,1362,54.71064128264527,146
10635,L,302.2,310.6,1346,48.76150283846227,127
10636,L,302.3050914645009,310.29830284516635,1330,60.33564025150633,100
10637,L,303.173080061923,311.3828691303146,1348,51.14160354066447,8
10638,L,301.26653843677104,309.79989008866085,1343,57.43469806579416,111
10639,L,302.4,310.61900926898477,1366,51.114921738806224,150
10640,L,301.79921527022026,310.26313699014014,1311,56.93098235895873,40
10641,L,302.1424060009918,310.50601500247944,1375,47.46977449578495,171
10642,L,301.8717054186437,310.3089631773305,1342,51.10053288114094,64
10643,L,302.34891747761145,310.84891747761145,1376,47.59350486566848,22
10644,L,302.42746987834215,310.7137349391711,1349,46.56168675183863,110
10645,M,302.3211840211864,310.73052783050855,1359,46.24550624576151,65
10646,L,302.7663060753055,310.74384345884255,1323,56.25119314186444,59
10647,L,302.6461625783541,310.82821677113884,1369,50.007845121197114,144
10648,L,302.6550087218915,310.6950784970231,1309,61.46485172784536,110
10649,L,302.2,310.6,1346,47.74076525440619,112
10650,L,302.4,310.6827342670172,1362,54.644608403155026,155
10651,L,302.3499036172904,310.60057829625754,1375,48.99575916077796,164
10652,L,303.0,311.18630700983107,1360,47.36721916712789,106
10653,L,302.81666709001144,310.8250006350172,1351,44.68333290998852,178
10654,L,303.0538384186897,311.25383841868967,1338,51.86141469903429,172
10655,H,303.01813791306876,311.0726896397732,1289,54.545517267044644,33
10656,L,302.08371510461205,310.358142447694,1338,59.079008598426505,109
10657,L,302.10223179649086,310.00185983040905,1354,45.08772511930041,6
10658,L,303.0618912824015,311.38943941434474,1364,49.57171575229166,193
10659,L,302.9116678059243,311.4116678059243,1371,50.97000683554567,26
10660,L,302.51795594748575,310.88997997612984,1360,48.312104124124644,36
10661,L,302.17939409120106,310.14484852280026,1356,45.26545443159921,171
10662,L,302.7,310.6961296439128,1368,47.38969485151508,10
10663,H,302.1751361853347,310.6401089482677,1365,48.28802331442954,90
10664,H,303.3286902363839,311.7478170606399,1366,51.43471942447925,109
10665,L,302.73351555135287,310.4403279924351,1322,61.13160226214821,91
10666,L,302.6808169070252,310.7047957732437,1369,47.4904084535126,11
10667,L,302.22459048540753,310.579672388326,1357,55.664258951761944,107
10668,L,303.2136148575648,311.6136148575648,1303,56.24867123443857,102
10669,L,303.08035240302195,311.1846343254395,1349,48.87455469620822,9
10670,L,302.3198902391092,310.6899176793319,1346,48.789643277105036,162
10671,L,302.5718287711827,310.9002801398279,1364,46.22985206778461,97
10672,L,302.4,310.5985430102634,1365,54.21662230901483,156
10673,L,301.71403090845,310.21403090845,1326,50.68587380421022,79
10674,L,302.40691560843175,310.70691560843176,1362,54.81613641967418,154
10675,L,302.04337479592596,310.51730665121215,1374,55.069442940639796,128
10676,L,302.46185362229994,310.9,1343,47.924681857848206,149
10677,L,303.14156061970453,311.3181848675863,1351,50.67923646187262,9
10678,L,302.39434337616433,310.2028283119178,1346,62.337777137808125,106
10679,L,302.2382734702952,310.65309388118084,1377,47.23208570793353,166
10680,M,302.26942113071306,310.8303239467023,1362,47.317801397201386,210
10681,H,303.2814682994753,311.84165183690965,1368,55.27687986361506,111
10682,L,302.1877032283415,310.27631096850246,1360,56.62278451967807,68
10683,L,302.10246963818366,310.4896609334107,1212,56.31728746728563,83
10684,L,303.6,311.9724868260282,1297,54.81216559103792,94
10685,L,302.0845998716949,310.65379961508455,1323,45.8854065435622,208
10686,L,302.1506505158665,310.55065051586655,1343,50.14019740114097,109
10687,L,301.67495236570454,310.17495236570454,1273,63.295104795449944,21
10688,L,302.38229243917635,310.1,1358,54.626561341235394,61
10689,L,302.3155738651637,310.1796448876364,1353,43.91434374159983,7
10690,L,302.2,310.6,1351,49.844295767789646,118
10691,L,302.41604677288126,310.70802338644063,1349,46.608807061864866,110
10692,M,302.2,310.6,1347,49.675725354418205,132
10693,M,302.95402307765875,311.29241384659525,1368,46.15827615627391,62
10694,L,302.64973021861937,310.6162170310323,1346,47.555680483090654,170
10695,L,303.0023747820671,311.1484769953581,1351,52.23696418543976,7
10696,L,303.0,311.2689109081487,1336,52.79168361186574,167
10697,L,302.54760842455505,310.5736373377697,1312,59.11468320168537,228
10698,L,303.0738752878872,311.303211315352,1300,47.983090079438284,220
10699,L,302.4,310.8765048202247,1350,47.12204032022549,148
10700,L,303.4,311.46430001941667,1304,53.42129982525003,45
10701,H,302.43264832131825,310.4285382492279,1349,60.147265829039085,104
10702,L,303.2044814073922,311.5274835947578,1296,52.001566714651396,49
10703,L,302.28828683220524,310.75776890519245,1333,50.62207170805131,65
10704,L,302.76232093331976,311.2181662044318,1318,56.36240680894505,87
10705,L,302.54498478555587,310.38349543566676,1359,57.12297869977818,67
10706,L,302.39912794543255,310.9424834051853,1361,44.594767672595175,66
10707,L,303.07855005173417,311.0071167298973,1313,55.60724974132918,47
10708,L,302.0527920181852,310.28198004546294,1375,47.850633922712994,174
10709,L,302.0913629341182,310.0913629341182,1378,48.21295559882274,166
10710,L,302.86498744764515,310.7309824267032,1354,43.416876986922354,16
10711,L,302.0605025448131,310.45293972671146,1212,56.02351781369184,81
10712,L,303.0916344362108,311.1507429255504,1362,46.95613678713806,30
10713,L,302.2540766470621,310.49184670587573,1348,47.50773532347483,162
10714,L,302.13929164463474,310.7196458223174,1362,48.90708355365285,37
10715,H,302.49956042018033,310.8969229412624,1355,55.53033100755581,101
10716,L,302.54946739956574,310.3242010993486,1358,56.54307619435467,65
10717,L,302.824132603188,311.324132603188,1372,50.4447956191279,25
10718,L,302.7242168838801,311.1161445892534,1366,48.259638526866475,50
10719,L,303.34101377283923,311.69354820493726,1372,43.10414879259971,32
10720,L,302.707632419823,310.5137383556814,1351,41.983178075752356,9
10721,L,302.23207754651855,310.1540904709383,1358,45.62831018607407,7
10722,L,302.9590315578291,311.1872252462633,1334,52.43083786939495,166
10723,H,302.77820014934093,311.06692008960454,1358,51.10443764041368,103
10724,L,302.2,310.6,1346,48.90912578669722,129
10725,L,301.98732543566916,310.07465087133835,1362,45.79291149425581,174
10726,L,302.4836155274493,311.0245977539955,1319,49.791912989571756,210
10727,L,303.28923937917244,311.7062794746844,1366,50.508077803225554,200
10728,L,302.7200739609119,310.86003698045596,1354,45.94953774430034,121
10729,L,302.86146259056227,310.92292518112447,1368,51.317091712349416,65
10730,L,302.42626729581383,310.9175115305425,1349,46.542166146199364,147
10731,L,302.40181252281366,310.5024166970849,1371,45.731719149239694,144
10732,L,303.4,311.77520675501944,1362,49.21405934132051,198
10733,L,301.722754485062,310.2010919288746,1362,55.18622757469018,69
10734,L,302.4135732169203,310.9,1347,46.50040989915013,148
10735,L,301.61617592581115,310.11617592581115,1296,59.216188274090854,34
10736,L,303.2486449815713,311.67206864946655,1312,54.35226740950525,86
10737,L,303.2725551126211,311.4725551126211,1373,47.38233466213668,60
10738,L,302.11387583477824,310.15138758347786,1325,55.497036853850915,84
10739,L,302.6768417008711,310.8915753078399,1303,61.0936910851913,117
10740,L,302.1718270654204,310.6355834566977,1287,60.7159924984434,27
10741,L,303.15339428886034,311.672363958948,1373,43.06066459675034,35
10742,L,302.55948855899584,310.46751906834027,1359,55.41749659581678,67
10743,L,301.86567418150184,310.36567418150184,1326,53.991697156739406,82
10744,L,303.57543129583445,311.77543129583444,1222,66.0506545229496,152
10745,L,302.4,310.73716641111304,1359,53.18326111658152,153
10746,H,301.9176052610094,310.4088026305047,1285,62.628348705158224,22
10747,L,303.39257438148934,311.79371678433716,1365,50.88229275585928,200
10748,L,302.4554508370399,310.8665742679764,1303,54.68926464356266,44
10749,L,301.9020856441063,310.26597145196456,1343,51.19758523472635,63
10750,L,302.33161048879407,310.71033706723546,1376,48.19086150693994,165
10751,L,302.6783621844499,311.0632607509852,1301,53.88940627932686,46
10752,L,302.5330539141015,311.1021214916657,1361,50.90848596666276,37
10753,H,302.41580932603705,310.815809326037,1353,53.25491536098787,103
10754,L,302.38889188368654,310.19722297092164,1351,45.10833108723509,168
10755,L,303.29327034516854,311.7086068279101,1311,52.17918531114599,84
10756,L,303.2,311.4,1350,53.07998535353553,8
10757,H,302.9997948552804,311.1998769131682,1360,47.603241286569485,105
10758,L,302.9019086652988,310.9826721314183,1360,48.95374239015145,10
10759,L,302.93275440316324,311.2411601027678,1363,55.61160102767837,144
10760,L,302.4,310.5848263623627,1365,54.1377515835856,156
10761,L,302.9257896098969,311.22578960989694,1334,53.30315843958765,162
10762,H,302.43483202051215,310.44382414358506,1349,59.99659058466115,104
10763,M,302.2,310.6,1352,50.838983236786305,128
10764,L,301.9623938962096,309.9623938962096,1375,48.406409155685594,175
10765,L,303.36806831199783,311.7361366239957,1304,55.92286160766015,216
10766,L,302.7243392793522,310.7486785587044,1315,53.78887513360379,43
10767,L,302.16612180005694,310.66171368005314,1325,58.82669655976468,87
10768,L,302.13835024586507,310.569319803308,1325,59.353111622709235,88
10769,L,302.29146332197854,310.41707335604286,1349,46.890855187353694,164
10770,L,302.8076642936919,310.88456736061477,1370,46.5925438103108,14
10771,L,301.8190706089463,310.3190706089463,1366,49.55648764503097,78
10772,L,302.530244392771,310.74243890180725,1372,47.4151221963855,15
10773,L,302.3686474104801,310.2627051790397,1346,60.06423208077051,106
10774,L,303.3147187887016,311.6015157604556,1371,43.774670888109064,31
10775,L,302.6476162859603,310.88639120438035,1363,47.94420683770106,186
10776,L,301.99774956725713,310.0954991345143,1361,45.46976341502893,174
10777,H,303.3335321968948,311.66706439378953,1365,49.981224746175776,113
10778,H,302.1093218908024,310.50932189080237,1356,57.453390545988,106
10779,M,302.3319953943626,310.64403684509944,1359,47.39151180243274,65
10780,L,302.28242150556804,310.4540627955456,1325,60.30398193674901,89
10781,L,302.9638221713749,311.17286662853115,1340,51.0904445715628,172
10782,L,302.4,310.3072128039301,1374,52.541473622598026,160
10783,L,302.0771809655231,310.3429524138077,1375,47.7469808965268,173
10784,L,302.2724093090458,310.1425302303181,1354,53.7281302784798,61
10785,L,302.5413353827013,310.8789347678909,1372,46.45707445426481,74
10786,L,303.1084940026776,311.24654622638747,1305,53.632047978578726,52
10787,L,302.09537539556436,310.45450022603677,1220,55.51824966094482,71
10788,L,302.6,310.28994954254705,1325,60.84837039106344,94
10789,M,302.7119911101039,311.1707623923876,1358,46.05817914816587,203
10790,L,303.2415497560814,311.6659267166843,1365,50.52215711065567,201
10791,L,302.8343408489733,311.0757556367299,1336,51.41414787756683,165
10792,L,302.804515269969,310.7067729049535,1365,45.7312970519095,112
10793,L,302.6782955382486,310.5565910764972,1361,55.438350389406054,66
10794,L,302.33183110892,310.66591555446,1357,52.618595485440856,157
10795,L,302.5184438725431,310.7592219362716,1351,47.20972579660531,126
10796,H,302.4486366616071,310.5404566312499,1350,59.04407034910769,103
10797,L,303.1439591820786,311.58335007714345,1309,57.86842384234649,213
10798,L,302.6241901778238,310.9241901778238,1363,55.323110414922176,151
10799,L,302.11643643703053,310.4104971654148,1367,45.943370039475894,170
10800,L,302.0617239535768,310.652154941971,1313,53.2401745338668,11
10801,H,302.22562466943344,310.6256246694335,1346,48.183324518226016,108
10802,L,301.66372542046184,310.1728290519564,1361,54.72577148364378,69
10803,L,302.2185673419588,310.2648209177449,1320,58.11303009519341,49
10804,L,302.82812496907746,311.03472220847885,1368,46.947916687281676,26
10805,L,302.79157091461684,311.02932315851467,1369,49.92651346338694,191
10806,H,302.16022408171364,310.5602240817136,1356,57.19887959143171,105
10807,L,302.4,310.3,1374,52.41277814758116,161
10808,M,302.3593705782951,310.4250353736389,1358,50.293281299285205,63
10809,L,302.5367809284166,310.6823745712221,1370,48.09366624729028,144
10810,L,302.93128510315466,311.06257020630926,1371,49.74608517902065,65
10811,L,302.1705303893938,310.6193712725756,1370,45.048015479696346,81
10812,L,302.72819333505475,310.8794838100156,1312,52.2615485699531,36
10813,L,302.4,310.56245843673895,1366,54.00913601124911,157
10814,L,302.6291128804924,310.4409274004103,1351,42.18987915729174,9
10815,H,302.2573596414449,310.6573596414449,1356,56.71320179277549,104
10816,L,302.60376332039306,310.6411533168639,1352,47.84779992941679,7
10817,L,302.36761531081146,310.2838076554057,1372,50.7304220067663,163
10818,L,303.3799819086709,311.8299366803482,1375,42.110461328891176,33
10819,L,301.6240804366845,310.1240804366845,1271,63.407023039294096,20
10820,L,302.507911157855,310.90791115785504,1307,60.0139684209108,120
10821,L,302.52136591308715,310.9,1338,49.680294436070845,151
10822,L,302.1836707014411,310.5897885371762,1370,46.25712994005835,169
10823,L,302.30080681248796,310.7573733749965,1313,52.62787987501032,17
10824,L,303.0,311.2731420395667,1336,52.901693028734286,166
10825,L,300.96672447622433,309.5389370635203,1341,61.816464333214824,112
10826,L,302.36506903965767,310.4930138079315,1372,46.34272967029889,142
10827,L,302.8611944089502,310.79014993611037,1351,45.66866581480487,9
10828,L,302.1345640102913,310.2382560411652,1378,47.958051927960966,166
10829,L,302.6,310.47560471471525,1326,57.645818671161926,98
10830,L,303.2938456965865,311.58769139317303,1302,45.66004161062702,219
10831,M,302.3730026363144,310.3159789094844,1358,51.738279449332104,62
10832,L,303.09894739245243,311.6221052853407,1372,43.38315775239724,35
10833,L,301.88048927281693,310.3,1339,51.41987740362193,62
10834,L,302.076596158234,310.00951244937545,1299,64.50312781643935,225
10835,L,302.8562574071107,311.3562574071107,1371,50.637544442664236,25
10836,L,302.3529675952063,310.5821944287623,1375,49.13057418907629,164
10837,H,302.53564789748765,310.68621777518376,1272,56.125179778738364,24
10838,L,302.40836123126144,310.9609210418366,1320,48.87149505927469,209
10839,L,302.4,310.6026154436736,1366,50.369002687149255,149
10840,L,302.7963275195754,310.66217807948107,1319,57.01836240212298,51
10841,L,302.3778840431275,310.2847355053909,1323,58.332090559300305,52
10842,L,302.3980922091949,310.20381558161023,1350,45.1314785482843,167
10843,L,301.801445015525,310.301445015525,1326,52.59150133844553,81
10844,L,303.0278270498169,311.2278270498169,1373,48.116518850549376,64
10845,M,303.0624069400971,311.4883756370128,1318,53.0294331470796,73
10846,L,302.4571586256659,310.76572690053274,1358,53.24555029307437,107
10847,L,302.4,310.51185781081404,1367,53.10672029732648,158
10848,L,302.79133794143735,310.85222990239555,1344,48.94815642413382,171
10849,L,302.776676693734,311.27257258700564,1315,53.37627648490008,211
10850,L,302.4689233601073,310.9,1342,48.13323912316562,150
10851,L,303.18163696157126,311.58163696157123,1317,51.10103893475619,96
10852,L,301.799814404949,310.2569837756706,1344,51.759118118756604,110
10853,L,302.1779715636166,310.0889857818083,1345,62.4,106
10854,M,302.53921636336634,310.3165587874588,1360,53.470800608250514,60
10855,L,302.3451547022817,310.6290717863095,1375,48.78680690039667,164
10856,L,302.99598995435747,311.1143859361004,1357,49.63112767137371,9
10857,L,302.4,310.4250140783801,1370,53.21883095068562,159
10858,L,302.2749072256806,310.7499734930516,1313,52.65007952084524,15
10859,M,302.93232618943796,311.3683010979427,1319,53.84994249739133,75
10860,L,303.1917317109435,311.51822525598243,1305,61.551298412208304,216
10861,L,302.18362631995876,310.4345052798349,1378,47.61461576028893,166
10862,L,302.3555078499896,310.4911015699979,1372,46.51865556019118,142
10863,L,301.7116216438131,310.20820351327984,1310,57.376756712373826,40
10864,L,303.0832987450572,311.146953975026,1362,46.97583932986468,30
10865,L,302.36694681201516,310.1766946812015,1325,59.090644730615004,88
10866,L,302.12977214911075,310.024810124259,1354,44.93625317989091,6
10867,L,302.38333107459255,310.2916655372963,1373,50.95830058159205,163
10868,L,302.50229272461326,310.37068781738395,1359,57.06320981445854,67
10869,L,303.3014998500377,311.6014998500377,1301,45.08500149962286,218
10870,L,301.98055001162817,310.35166999302305,1376,53.93339986046146,122
10871,L,302.99760767002937,311.19561406172045,1373,48.22551818635361,64
10872,L,301.6359999233222,310.1359999233222,1328,48.61399911820458,74
10873,L,303.097452393278,311.49745239327797,1319,50.7390452910953,98
10874,H,303.50905063585833,312.0484177264305,1369,53.538924085013576,111
10875,L,301.6285622549635,310.12244177175705,1362,55.64494775876963,69
10876,M,302.614164323064,311.0955110177415,1359,46.3366092343563,204
10877,M,303.03986691646946,311.4229745511304,1356,45.12499416081761,197
10878,L,302.91740094986386,311.2449339665759,1362,54.80958265604129,146
10879,L,302.0850383447792,310.3267689194113,1365,45.79684560896971,171
10880,L,302.9505954237745,311.1072175636335,1368,49.69270995802664,16
10881,L,302.50453177946844,310.3371098162237,1352,42.87507521292359,8
10882,M,302.38794161351757,310.92149354885964,1361,46.98047386921933,208
10883,L,302.1243594399079,310.70695983997365,1313,52.77912048007899,9
10884,M,302.76832461640686,310.6729494032996,1364,51.6124781113666,60
10885,L,302.2132420544103,310.6686454784273,1372,46.39512958724778,168
10886,L,303.0280799746523,311.1235910998455,1365,46.814613350231774,27
10887,L,302.98040060730085,311.10018209422765,1362,47.219053110016105,31
10888,L,302.80586886214957,311.35157125736885,1368,45.119084431883216,37
10889,L,302.46390733519394,310.3032561126616,1352,43.09850965643338,8
10890,L,302.5561664356118,310.8770183388092,1343,50.06211003285492,165
10891,H,302.4827158148428,310.7790107038993,1354,56.6926087758494,101
10892,M,302.4,310.4149995171754,1373,48.59001641603774,151
10893,L,302.04491066404194,310.4796426561676,1366,47.99281267585335,203
10894,L,302.73496508185946,310.98797206548755,1359,50.35636314866169,106
10895,H,302.7420923531485,311.234853897292,1363,56.42305374955949,109
10896,L,302.59406302300545,311.01440374191253,1324,49.18724864486314,216
10897,L,302.8278429977196,311.31586715191656,1370,48.87544445346929,204
10898,M,302.4,310.48177253218205,1372,46.31973390581001,145
10899,L,303.25627925186194,311.5125585037239,1318,56.11349456330667,224
10900,L,302.3145053248072,310.24274733759637,1348,61.459558572879594,106
10901,L,302.4030463697913,310.18030463697914,1325,59.603258451036154,89
10902,L,303.2,311.3174483359445,1354,49.28386339077947,17
10903,L,303.07722216583824,311.3,1335,52.8277783416178,170
10904,L,302.8590157475004,311.34224409403885,1370,48.98574802961687,204
10905,L,302.4,310.8257073321331,1353,49.3317310522099,150
10906,L,302.52663241611083,310.5470677270737,1312,59.27270246529853,228
10907,L,302.7851322713584,311.08513227135836,1332,52.74052908543356,158
10908,L,302.87787868651094,310.9964644775182,1343,49.79914041735735,172
10909,L,301.91557516228653,309.9311503245731,1371,48.01716996911686,179
10910,L,302.71957809712643,310.4152405748275,1323,61.264008077299245,91
10911,L,302.6301171108494,310.56023422169886,1319,55.76754067216205,48
10912,H,302.4412093609632,310.48846552674274,1350,59.55655409353548,103
10913,L,303.0,311.29643878497274,1335,53.50740840929061,164
10914,L,302.4,310.40040473948255,1372,48.438869664230666,153
10915,H,302.2770848608055,310.67708486080545,1356,56.6145756959725,104
10916,H,303.3353045225728,311.67060904514557,1365,50.011945057928536,113
10917,L,302.4343750645417,310.7757812984063,1350,47.529296883067715,108
10918,L,303.16927361451167,311.6047699815099,1367,50.083583559041344,201
10919,L,303.14777686576934,311.32166529865407,1352,44.35222313423062,185
10920,L,302.30819648824655,310.79463476738476,1359,48.80789920959907,38
10921,M,302.39471706168433,310.1422635065253,1358,54.04000853853998,61
10922,L,302.2495260221041,310.16311929684076,1356,45.31749239578772,9
10923,L,302.9488247772526,310.9478845990547,1350,46.42814085689853,9
10924,L,302.9359003703427,311.2001532461646,1370,49.12049814828649,62
10925,L,302.0420512178485,310.42402926734195,1215,55.56395609898701,75
10926,L,302.94899332374774,311.38154365756037,1314,51.37013431080717,83
10927,L,302.91378742488945,311.21378742488946,1364,55.998837324742105,147
10928,L,302.40609369719203,310.56410708250525,1358,45.02291299546452,179
10929,M,302.7938430377729,311.23372541367144,1363,45.12580408992282,200
10930,L,302.02876689419804,310.428766894198,1355,56.48973805460174,108
10931,L,303.391682570435,311.38983425275393,1307,54.04158714782481,44
10932,L,302.8848942294145,311.1848942294145,1364,55.9314198686339,147
10933,L,302.56476111876714,310.3471416781507,1358,56.74189454397296,65
10934,L,302.6393783357779,310.55440502200133,1313,61.7305682917753,104
10935,L,303.0283093216926,311.5620015130002,1363,52.748006052000925,33
10936,L,302.55596546785347,310.58031968635896,1353,48.70627233665919,6
10937,L,302.5893921761894,310.44721898968055,1373,48.48965028492298,106
10938,L,301.6695516485538,310.1,1361,55.69567252716929,69
10939,L,303.2439349940096,311.63245998973065,1375,42.91540505049075,28
10940,L,303.1555238635772,311.6743297202251,1373,43.04805096188888,35
10941,L,303.4,311.74280193524396,1303,51.12879225902414,58
10942,L,302.544231081546,311.0758878382312,1318,50.5332878435241,210
10943,L,303.16257453254826,311.3306714950751,1303,53.19940373961377,52
10944,L,302.09758601293987,310.6903440517595,1375,46.32655385766136,209
10945,L,302.4443187907206,310.65946868213234,1359,50.35002679170521,67
10946,L,302.24230379574357,310.22115189787183,1368,48.913405038282036,167
10947,L,303.1814352470009,311.3665834446016,1351,53.35444592802171,8
10948,L,303.37684124092794,311.6715766424746,1364,51.29787226412733,29
10949,L,302.41153097624874,310.75864823218654,1339,50.30377878623869,157
